Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,1/30/2015,5577,616,1,1,0,0
2,5,1/30/2015,5919,624,1,1,0,0
3,5,1/30/2015,6911,678,1,1,0,0
4,5,1/30/2015,13307,1632,1,1,0,0
5,5,1/30/2015,5640,617,1,1,0,0
6,5,1/30/2015,6555,692,1,1,0,0
7,5,1/30/2015,11430,1077,1,1,0,0
8,5,1/30/2015,6401,747,1,1,0,0
9,5,1/30/2015,8072,643,1,1,0,0
10,5,1/30/2015,6350,602,1,1,0,0
11,5,1/30/2015,10031,1263,1,1,0,0
12,5,1/30/2015,9156,988,1,1,0,0
13,5,1/30/2015,7004,453,1,1,0,0
14,5,1/30/2015,6491,692,1,1,0,0
15,5,1/30/2015,8898,828,1,1,0,0
16,5,1/30/2015,9546,921,1,1,0,0
17,5,1/30/2015,7929,846,1,1,0,0
18,5,1/30/2015,9941,940,1,1,0,0
19,5,1/30/2015,7121,668,1,1,0,0
20,5,1/30/2015,7458,753,1,1,0,0
21,5,1/30/2015,7815,641,1,1,0,0
22,5,1/30/2015,4977,555,1,1,0,0
23,5,1/30/2015,7025,576,1,1,0,0
24,5,1/30/2015,12859,1030,1,1,0,0
25,5,1/30/2015,14289,1817,1,1,0,0
26,5,1/30/2015,8361,614,1,1,0,0
27,5,1/30/2015,11252,1132,1,1,0,0
28,5,1/30/2015,5184,564,1,1,0,0
29,5,1/30/2015,9088,729,1,1,0,0
30,5,1/30/2015,5818,726,1,1,0,0
31,5,1/30/2015,8141,716,1,1,0,0
32,5,1/30/2015,5652,575,1,1,0,0
33,5,1/30/2015,11483,1003,1,1,0,0
34,5,1/30/2015,9436,1082,1,1,0,0
35,5,1/30/2015,11347,737,1,1,0,0
36,5,1/30/2015,9087,1051,1,1,0,0
37,5,1/30/2015,8084,914,1,1,0,0
38,5,1/30/2015,7477,657,1,1,0,0
39,5,1/30/2015,7328,845,1,1,0,0
40,5,1/30/2015,5301,610,1,1,0,0
41,5,1/30/2015,6736,453,1,1,0,0
42,5,1/30/2015,12295,1204,1,1,0,0
43,5,1/30/2015,8542,703,1,1,0,0
44,5,1/30/2015,6150,692,1,1,0,0
45,5,1/30/2015,5882,453,1,1,0,0
46,5,1/30/2015,6686,721,1,1,0,0
47,5,1/30/2015,9931,1129,1,1,0,0
48,5,1/30/2015,4650,440,1,1,0,0
49,5,1/30/2015,8693,609,1,1,0,0
50,5,1/30/2015,5587,452,1,1,0,0
51,5,1/30/2015,8909,561,1,1,0,0
52,5,1/30/2015,6655,437,1,1,0,0
53,5,1/30/2015,6699,666,1,1,0,0
54,5,1/30/2015,10837,952,1,1,0,0
55,5,1/30/2015,5691,654,1,1,0,0
56,5,1/30/2015,9421,593,1,1,0,0
57,5,1/30/2015,10486,956,1,1,0,0
58,5,1/30/2015,7779,575,1,1,0,0
59,5,1/30/2015,7312,673,1,1,0,0
60,5,1/30/2015,10222,849,1,1,0,0
61,5,1/30/2015,5934,639,1,1,0,0
62,5,1/30/2015,8266,850,1,1,0,0
63,5,1/30/2015,10852,828,1,1,0,0
64,5,1/30/2015,14865,957,1,1,0,0
65,5,1/30/2015,7069,535,1,1,0,0
66,5,1/30/2015,6519,515,1,1,0,0
67,5,1/30/2015,10072,887,1,1,0,0
68,5,1/30/2015,12881,1711,1,1,0,0
69,5,1/30/2015,10980,1344,1,1,0,0
70,5,1/30/2015,8326,768,1,1,0,0
71,5,1/30/2015,9889,748,1,1,0,0
72,5,1/30/2015,5009,531,1,1,0,0
73,5,1/30/2015,5475,584,1,1,0,0
74,5,1/30/2015,7587,1011,1,1,0,0
75,5,1/30/2015,7436,720,1,1,0,0
76,5,1/30/2015,9683,883,1,1,0,0
77,5,1/30/2015,9879,791,1,1,0,0
78,5,1/30/2015,5166,611,1,1,0,0
79,5,1/30/2015,5966,555,1,1,0,0
80,5,1/30/2015,10427,709,1,1,0,0
81,5,1/30/2015,6440,503,1,1,0,0
82,5,1/30/2015,11883,1084,1,1,0,0
83,5,1/30/2015,4584,398,1,1,0,0
84,5,1/30/2015,14116,1405,1,1,0,0
85,5,1/30/2015,7499,1027,1,1,0,0
86,5,1/30/2015,5977,681,1,1,0,0
87,5,1/30/2015,5166,668,1,1,0,0
88,5,1/30/2015,6880,692,1,1,0,0
89,5,1/30/2015,5955,598,1,1,0,0
90,5,1/30/2015,11062,1235,1,1,0,0
91,5,1/30/2015,5085,540,1,1,0,0
92,5,1/30/2015,8260,646,1,1,0,0
93,5,1/30/2015,7133,684,1,1,0,0
94,5,1/30/2015,7659,621,1,1,0,0
95,5,1/30/2015,8288,896,1,1,0,0
96,5,1/30/2015,6079,587,1,1,0,0
97,5,1/30/2015,7827,809,1,1,0,0
98,5,1/30/2015,5341,419,1,1,0,0
99,5,1/30/2015,6244,555,1,1,0,0
100,5,1/30/2015,9754,773,1,1,0,0
101,5,1/30/2015,9427,890,1,1,0,0
102,5,1/30/2015,10741,1275,1,1,0,0
103,5,1/30/2015,5781,499,1,1,0,0
104,5,1/30/2015,10709,1308,1,1,0,0
105,5,1/30/2015,5315,566,1,1,0,0
106,5,1/30/2015,10325,936,1,1,0,0
107,5,1/30/2015,8493,1004,1,1,0,0
108,5,1/30/2015,13030,837,1,1,0,0
109,5,1/30/2015,8736,901,1,1,0,0
110,5,1/30/2015,5203,585,1,1,0,0
111,5,1/30/2015,7698,654,1,1,0,0
112,5,1/30/2015,6701,828,1,1,0,0
113,5,1/30/2015,6116,569,1,1,0,0
114,5,1/30/2015,5941,621,1,1,0,0
115,5,1/30/2015,9143,603,1,1,0,0
116,5,1/30/2015,8225,796,1,1,0,0
117,5,1/30/2015,5299,608,1,1,0,0
118,5,1/30/2015,10324,809,1,1,0,0
119,5,1/30/2015,7207,717,1,1,0,0
120,5,1/30/2015,7496,649,1,1,0,0
121,5,1/30/2015,5313,637,1,1,0,0
122,5,1/30/2015,7600,806,1,1,0,0
123,5,1/30/2015,9586,1018,1,1,0,0
124,5,1/30/2015,7744,792,1,1,0,0
125,5,1/30/2015,15047,1705,1,1,0,0
126,5,1/30/2015,7889,669,1,1,0,0
127,5,1/30/2015,6446,769,1,1,0,0
128,5,1/30/2015,9610,710,1,1,0,0
129,5,1/30/2015,10165,1176,1,1,0,0
130,5,1/30/2015,6580,654,1,1,0,0
131,5,1/30/2015,5951,565,1,1,0,0
132,5,1/30/2015,8138,662,1,1,0,0
133,5,1/30/2015,7336,743,1,1,0,0
134,5,1/30/2015,5246,522,1,1,0,0
135,5,1/30/2015,8195,638,1,1,0,0
136,5,1/30/2015,7526,517,1,1,0,0
137,5,1/30/2015,10279,1093,1,1,0,0
138,5,1/30/2015,8293,784,1,1,0,0
139,5,1/30/2015,7107,561,1,1,0,0
140,5,1/30/2015,9359,1106,1,1,0,0
141,5,1/30/2015,6670,657,1,1,0,0
142,5,1/30/2015,5997,661,1,1,0,0
143,5,1/30/2015,6535,515,1,1,0,0
144,5,1/30/2015,8350,740,1,1,0,0
145,5,1/30/2015,9985,1272,1,1,0,0
146,5,1/30/2015,9452,709,1,1,0,0
147,5,1/30/2015,11100,1006,1,1,0,0
148,5,1/30/2015,9885,885,1,1,0,0
149,5,1/30/2015,6744,525,1,1,0,0
150,5,1/30/2015,10227,977,1,1,0,0
151,5,1/30/2015,9561,799,1,1,0,0
152,5,1/30/2015,8190,773,1,1,0,0
153,5,1/30/2015,6348,542,1,1,0,0
154,5,1/30/2015,10603,802,1,1,0,0
155,5,1/30/2015,8914,791,1,1,0,0
156,5,1/30/2015,8051,760,1,1,0,0
157,5,1/30/2015,10643,946,1,1,0,0
158,5,1/30/2015,9513,515,1,1,0,0
159,5,1/30/2015,9024,729,1,1,0,0
160,5,1/30/2015,7009,611,1,1,0,0
161,5,1/30/2015,9187,967,1,1,0,0
